USER_COLUMN_INSTANCE_ID,EFFECTIVE_START_DATE,EFFECTIVE_END_DATE,USER_ROW_ID,USER_COLUMN_ID,ENTERPRISE_ID,LEGISLATIVE_DATA_GROUP_ID,LEGISLATION_CODE,VALUE,OBJECT_VERSION_NUMBER,LAST_UPDATE_DATE,LAST_UPDATED_BY,LAST_UPDATE_LOGIN,CREATED_BY,CREATION_DATE,MODULE_ID,SGUID,SEED_DATA_SOURCE,ORA_SEED_SET1,ORA_SEED_SET2
3E+14,1951-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,3E+14,3E+14,1,,,TEST_DEPARTMENT_001,1,2025-06-17T08:35:00.484+00:00,dennis.ck.kong@hk.pwc.com,362201B9BC026F7BE063049DF20A9E27,dennis.ck.kong@hk.pwc.com,2025-06-17T08:34:54.421+00:00,,,,Y,Y
3E+14,1951-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,3E+14,3E+14,1,,,No Department,1,2025-05-12T06:52:02.371+00:00,FUSION_APPS_HCM_ESS_LOADER_APPID,34E9E41680D55787E0636490F20AD70F,FUSION_APPS_HCM_ESS_LOADER_APPID,2025-05-12T06:52:01.758+00:00,,,,Y,Y
3E+14,1951-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,3E+14,3E+14,1,,,Exhibition Services,1,2025-05-12T06:51:59.562+00:00,FUSION_APPS_HCM_ESS_LOADER_APPID,34E95A53B9B18FC2E063049DF20AECFC,FUSION_APPS_HCM_ESS_LOADER_APPID,2025-05-12T06:51:59.120+00:00,,,,Y,Y
3E+14,1951-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,3E+14,3E+14,1,,,Research,1,2025-06-19T06:59:18.329+00:00,FUSION_APPS_HCM_ESS_LOADER_APPID,37E741717D7EA665E063049DF20AEA94,FUSION_APPS_HCM_ESS_LOADER_APPID,2025-06-19T06:59:18.083+00:00,,,,Y,Y
3E+14,1951-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,3E+14,3E+14,1,,,Database Intelligence,1,2025-06-19T06:59:50.881+00:00,FUSION_APPS_HCM_ESS_LOADER_APPID,37E59204B4977C07E0636490F20ACF86,FUSION_APPS_HCM_ESS_LOADER_APPID,2025-06-19T06:59:50.667+00:00,,,,Y,Y
3E+14,1951-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,3E+14,3E+14,1,,,Exhibitions & Digital Business,1,2025-06-19T07:02:06.788+00:00,FUSION_APPS_HCM_ESS_LOADER_APPID,37E73FB9574420CAE0636490F20AACDA,FUSION_APPS_HCM_ESS_LOADER_APPID,2025-06-19T07:02:06.001+00:00,,,,Y,Y
3E+14,1951-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,3E+14,3E+14,1,,,Communication & Public Affairs,1,2025-06-19T07:00:59.077+00:00,FUSION_APPS_HCM_ESS_LOADER_APPID,37E775BF7DD0BA3FE0636490F20A62E0,FUSION_APPS_HCM_ESS_LOADER_APPID,2025-06-19T07:00:57.713+00:00,,,,Y,Y
3E+14,1951-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,3E+14,3E+14,1,,,Marketing and Customer Service,1,2025-06-19T07:02:12.171+00:00,FUSION_APPS_HCM_ESS_LOADER_APPID,37E775BF7DD0BA3FE0636490F20A62E0,FUSION_APPS_HCM_ESS_LOADER_APPID,2025-06-19T07:02:11.855+00:00,,,,Y,Y
3E+14,1951-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,3E+14,3E+14,1,,,Merchandise Trade & Innovation,1,2025-06-19T07:02:28.633+00:00,FUSION_APPS_HCM_ESS_LOADER_APPID,37E775BD5547A656E063049DF20AC743,FUSION_APPS_HCM_ESS_LOADER_APPID,2025-06-19T07:02:27.993+00:00,,,,Y,Y
3E+14,1951-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,3E+14,3E+14,1,,,Exhibition Service,1,2025-06-19T07:02:15.308+00:00,FUSION_APPS_HCM_ESS_LOADER_APPID,37E775BD5547A656E063049DF20AC743,FUSION_APPS_HCM_ESS_LOADER_APPID,2025-06-19T07:02:15.042+00:00,,,,Y,Y
3E+14,1951-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,3E+14,3E+14,1,,,External Relations,1,2025-06-19T07:02:04.574+00:00,FUSION_APPS_HCM_ESS_LOADER_APPID,37E741717D7DA665E063049DF20AEA94,FUSION_APPS_HCM_ESS_LOADER_APPID,2025-06-19T07:02:04.127+00:00,,,,Y,Y
3E+14,1951-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,3E+14,3E+14,1,,,Corporate Communications & Marketing,1,2025-06-19T07:02:12.519+00:00,FUSION_APPS_HCM_ESS_LOADER_APPID,37E741717D7DA665E063049DF20AEA94,FUSION_APPS_HCM_ESS_LOADER_APPID,2025-06-19T07:02:12.147+00:00,,,,Y,Y
3E+14,1951-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,3E+14,3E+14,1,,,Creative,1,2025-06-19T07:03:11.167+00:00,FUSION_APPS_HCM_ESS_LOADER_APPID,37E776C6237AFE4BE063049DF20A07DE,FUSION_APPS_HCM_ESS_LOADER_APPID,2025-06-19T07:03:10.934+00:00,,,,Y,Y
3E+14,1951-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,3E+14,3E+14,1,,,Human Resources,1,2025-06-19T07:03:13.533+00:00,FUSION_APPS_HCM_ESS_LOADER_APPID,37E741717D7DA665E063049DF20AEA94,FUSION_APPS_HCM_ESS_LOADER_APPID,2025-06-19T07:03:13.106+00:00,,,,Y,Y
3E+14,1951-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,3E+14,3E+14,1,,,Overseas secretariat,1,2025-06-19T07:03:09.036+00:00,FUSION_APPS_HCM_ESS_LOADER_APPID,37E776C6237AFE4BE063049DF20A07DE,FUSION_APPS_HCM_ESS_LOADER_APPID,2025-06-19T07:03:08.601+00:00,,,,Y,Y
3E+14,1951-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,3E+14,3E+14,1,,,Information Technology Services,1,2025-06-19T07:03:15.393+00:00,FUSION_APPS_HCM_ESS_LOADER_APPID,37E59204B4977C07E0636490F20ACF86,FUSION_APPS_HCM_ESS_LOADER_APPID,2025-06-19T07:03:15.102+00:00,,,,Y,Y
3E+14,1951-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,3E+14,3E+14,1,,,Design Gallery,1,2025-06-19T07:02:51.335+00:00,FUSION_APPS_HCM_ESS_LOADER_APPID,37E776C6237AFE4BE063049DF20A07DE,FUSION_APPS_HCM_ESS_LOADER_APPID,2025-06-19T07:02:51.008+00:00,,,,Y,Y
3E+14,1951-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,3E+14,3E+14,1,,,Administration,1,2025-06-19T07:02:57.790+00:00,FUSION_APPS_HCM_ESS_LOADER_APPID,37E59204B4977C07E0636490F20ACF86,FUSION_APPS_HCM_ESS_LOADER_APPID,2025-06-19T07:02:57.463+00:00,,,,Y,Y
3E+14,1951-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,3E+14,3E+14,1,,,Services Promotion,1,2025-06-19T07:03:19.950+00:00,FUSION_APPS_HCM_ESS_LOADER_APPID,37E776C6237AFE4BE063049DF20A07DE,FUSION_APPS_HCM_ESS_LOADER_APPID,2025-06-19T07:03:19.583+00:00,,,,Y,Y
3E+14,1951-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,3E+14,3E+14,1,,,Finance & Accounts,1,2025-06-19T07:03:10.439+00:00,FUSION_APPS_HCM_ESS_LOADER_APPID,37E73FB9574420CAE0636490F20AACDA,FUSION_APPS_HCM_ESS_LOADER_APPID,2025-06-19T07:03:10.230+00:00,,,,Y,Y
3E+14,1951-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,3E+14,3E+14,1,,,Central Pool,1,2025-06-19T07:03:19.316+00:00,FUSION_APPS_HCM_ESS_LOADER_APPID,37E7C09B478AFBEEE063049DF20A899D,FUSION_APPS_HCM_ESS_LOADER_APPID,2025-06-19T07:03:18.847+00:00,,,,Y,Y
3E+14,1951-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,3E+14,3E+14,1,,,Not Applicable,1,2025-06-19T07:03:23.916+00:00,FUSION_APPS_HCM_ESS_LOADER_APPID,37E73FB9574420CAE0636490F20AACDA,FUSION_APPS_HCM_ESS_LOADER_APPID,2025-06-19T07:03:23.681+00:00,,,,Y,Y
